## Date:  August 8, 1998
##
## The Carnegie Mellon Pronouncing Dictionary [cmudict.0.6] is Copyright 1998
## by Carnegie Mellon University. Use of this dictionary, for any research or
## commercial purpose, is completely unrestricted.  If you make use of or
## redistribute this material, we would appreciate acknowlegement of its
## origin.
##
## cmudict.0.6 is the fifth release of cmudict, first released as cmudict.0.1
## in September of 1993.  There was no generally available public release 
## of version 0.5.
##
## See the README in this directory before you use this dictionary.
##
## Thanks to Bill Huggins at BBN; Bill Fisher at NIST; Alex Hauptman,
## Alex Rudnicky, Jack Mostow, Roni Rosenfeld, Richard Stern,
## Matthew Siegler, Kevin Lenzo, Maxine Eskenazi, Mosur Ravishankar,
## Eric Thayer, Kristie Seymore, and Raj Reddy at CMU; Lin Chase at
## LIMSI; Doug Paul at MIT Lincoln Labs; Ben Serridge at MIT SLS; Murray 
## Spiegel at Bellcore; Tony Robinson at Cambridge UK; David Bowness of 
## CAE Electronics Ltd. and CRIM; Stephen Hocking; Jerry Quinn at BNR 
## Canada, and Marshal Midden for bringing to our attention problems and 
## inadequacies with the first releases. Most special thanks to Bob Weide 
## for all his work on prior versions of the dictionary.
##
## We welcome input from users and will continue to acknowledge such input
## in subsequent releases. If I failed to acknowledge your input in this
## release, please remind me and I will update these comments. If I failed to
## fix things that you brought to my attention, please remind me and have
## patience. If I actually fixed things that you brought to my attention and
## you appreciate it, I wouldn't mind a pat on the back.
##
## This version differs from previous releases of cmudict most significantly
## in the addition of new words from the common ARPA tasks for 1996 and 1997.
##
## There are undoubtedly still errors and inconsistencies in this dictionary
## so keep your eyes open for problems and mail them to me.
##
## We hope this dictionary is an improvement over cmudict.0.4.
## 
## email: cmudict@cs.cmu.edu
## web:   http://www.speech.cs.cmu.edu/cgi-bin/cmudict
## ftp:   ftp://ftp.cs.cmu.edu/project/speech/dict/
##
## Thank you for your continued interest in the CMU Pronouncing 
## Dictionary.  Further addictions and improvements are planned
## for forthcoming releases.
##
!exclamation-point  ɛk - sklə - ˈmeɪ - ʃən - pɔɪnt
"close-quote  ˈkloʊz - ˈkwoʊt
cruel  ˈkru - əl
cruel(2)  ˈkrul
cruelest  ˈkru - ləst
cruelly  ˈkru - li
cruelties  ˈkrul - tiz
cruelties(2)  ˈkru - əl - tiz
cruelty  ˈkrul - ti
cruelty(2)  ˈkru - əl - ti
cruey  ˈkrʌ - i
cruger  ˈkru - dʒɚ
cruickshank  ˈkrʊk - ʃæŋk
cruikshank  ˈkru - ɪk - ʃæŋk
cruise  ˈkruz
cruised  ˈkruzd
cruiser  ˈkru - zɚ
cruiser's  ˈkru - zɚz
cruisers  ˈkru - zɚz
cruises  ˈkru - zɪz
cruising  ˈkru - zɪŋ
crull  ˈkrʌl
crum  ˈkrʌm
crumb  ˈkrʌm
crumbaugh  ˈkrʌm - bɔ
crumble  ˈkrʌm - bəl
crumbled  ˈkrʌm - bəld
crumbles  ˈkrʌm - bəlz
crumbley  ˈkrʌm - bli
crumbling  ˈkrʌm - bəl - ɪŋ
crumbling(2)  ˈkrʌm - blɪŋ
crumbs  ˈkrʌmz
crumby  ˈkrʌm - bi
crume  ˈkrum
crumitie  ˈkru - mɪ - ti
crumley  ˈkrʌm - li
crumly  ˈkrʌm - li
crumm  ˈkrʌm
crummett  ˈkrʌ - mɪt
crummey  ˈkrʌ - mi
crummy  ˈkrʌ - mi
crump  ˈkrʌmp
crumpacker  ˈkrʌm - pə - kɚ
crumple  ˈkrʌm - pəl
crumpled  ˈkrʌm - pəld
crumpler  ˈkrʌm - pə - lɚ
crumpler(2)  ˈkrʌm - plɚ
crumpton  ˈkrʌmp - tən
crumrine  ˈkrʌ - mrin
crunch  ˈkrʌntʃ
crunched  ˈkrʌntʃt
cruncher  ˈkrʌn - tʃɚ
crunchers  ˈkrʌn - tʃɚz
crunches  ˈkrʌn - tʃɪz
crunching  ˈkrʌn - tʃɪŋ
crunchy  ˈkrʌn - tʃi
crunk  ˈkrʌŋk
crunkleton  ˈkrʌŋ - kəl - tɑn
crupi  ˈkru - pi
crusade  kru - ˈseɪd
crusader  kru - ˈseɪ - dɚ
crusaders  kru - ˈseɪ - dɚz
crusades  kru - ˈseɪdz
crusading  kru - ˈseɪ - dɪŋ
crusan  ˈkru - zən
cruse  ˈkruz
cruser  ˈkru - zɚ
crush  ˈkrʌʃ
crushed  ˈkrʌʃt
crusher  ˈkrʌ - ʃɚ
crushers  ˈkrʌ - ʃɚz
crushes  ˈkrʌ - ʃɪz
crushing  ˈkrʌ - ʃɪŋ
crusoe  ˈkru - soʊ
crust  ˈkrʌst
crustacean  krə - ˈsteɪ - ʃən
crustaceans  krə - ˈsteɪ - ʃənz
crustal  ˈkrʌ - stəl
crusted  ˈkrʌ - stɪd
crusts  ˈkrʌsts
crusty  ˈkrʌ - sti
crutch  ˈkrʌtʃ
crutcher  ˈkrʌ - tʃɚ
crutches  ˈkrʌ - tʃɪz
crutchfield  ˈkrʌtʃ - fild
crutchfield's  ˈkrʌtʃ - fildz
crutchley  ˈkrʌtʃ - li
crute  ˈkrut
cruthirds  ˈkrʌ - θɚdz
crux  ˈkrʌks
cruz  ˈkruz
cruz's  ˈkru - zɪz
cruzado  kru - ˈzɑ - doʊ
cruzados  kru - ˈzɑ - doʊs
cruzan  ˈkru - zən
cruzan(2)  kru - ˈzæn
cruze  ˈkruz
cruzen  ˈkru - zən
cry  ˈkraɪ
cryan  ˈkraɪ - ən
crybaby  ˈkraɪ - ˈbeɪ - bi
cryder  ˈkraɪ - dɚ
cryderman  ˈkraɪ - dɚ - mən
crye  ˈkraɪ
cryer  ˈkraɪ - ɚ
crying  ˈkraɪ - ɪŋ
crymes  ˈkraɪmz
cryogenic  ˈkraɪ - ə - dʒɛ - nɪk
cryogenics  ˈkraɪ - ə - dʒɛ - nɪks
cryolite  ˈkraɪ - ə - laɪt
crypt  ˈkrɪpt
cryptic  ˈkrɪp - tɪk
crypto  ˈkrɪp - toʊ
cryptoclearance  krɪp - toʊ - ˈlɪ - rəns
cryptosporidium  krɪp - toʊ - spɔ - ˈrɪ - di - əm
crypts  ˈkrɪpts
crysler  ˈkrɪ - səl - ɚ
crysler(2)  ˈkrɪs - lɚ
crystal  ˈkrɪ - stəl
crystal's  ˈkrɪ - stəlz
crystalline  ˈkrɪ - stə - laɪn
crystallize  ˈkrɪ - stə - laɪz
crystallized  ˈkrɪ - stə - laɪzd
crystallizing  ˈkrɪ - stə - laɪ - zɪŋ
crystallographer  krɪ - stə - ˈlɑ - grə - fɚ
crystallography  krɪ - stə - ˈlɑ - grə - fi
crystals  ˈkrɪ - stəlz
cryster  ˈkraɪ - stɚ
crytzer  ˈkraɪt - zɚ
csar  ˈzɑr
csaszar  kə - ˈsɑ - ʃɚ
csaszar(2)  ˈsɑ - ʃɚ
cspan  ˈsi - ˈspæn
cspi  ˈsi - ˈɛ - ˈspi - ˈaɪ
ct  ˈkɔrt
cuadra  ku - ˈɑ - drə
cuadrado  ku - ɑ - ˈdrɑ - doʊ
cuajone  ˈkyu - ə - dʒoʊn
cuauhtemoc  kyu - ˈaʊ - tə - mɑk
cub  ˈkʌb
cuba  ˈkyu - bə
cuba's  ˈkyu - bəz
cuban  ˈkyu - bən
cubans  ˈkyu - bənz
cubbage  ˈkʌ - bɪdʒ
cubbies  ˈkʌ - biz
cubbison  ˈkʌ - bɪ - sən
cubbyhole  ˈkʌ - bi - hoʊl
cube  ˈkyub
cubed  ˈkyubd
cubes  ˈkyubz
cubic  ˈkyu - bɪk
cubic's  ˈkyu - bɪks
cubicle  ˈkyu - bɪ - kəl
cubicles  ˈkyu - bɪ - kəlz
cubism  ˈkyu - bɪ - zəm
cubist  ˈkyu - bɪst
cubit  ˈkyu - bɪt
cubs  ˈkʌbz
cubs'  ˈkʌbz
cuccaro  ku - ˈkɑ - roʊ
cucchi  ˈku - ki
cucchiara  ku - ki - ˈɑ - rə
cucci  ˈku - tʃi
cuccia  ˈku - tʃə
cuccio  ˈku - tʃi - oʊ
cuckoo  ˈkʌ - ku
cuckoo's  ˈku - kuz
cuckoo(2)  ˈku - ku
cuckoos  ˈku - kuz
cuco  ˈku - koʊ
cucumber  ˈkyu - kəm - bɚ
cucumbers  ˈkyu - kəm - ɚz
cudahy  ˈkʌ - də - hi
cudd  ˈkʌd
cuddeback  ˈkʌd - bæk
cuddihy  ˈkʌ - dɪ - hi
cuddle  ˈkʌ - dəl
cuddled  ˈkʌ - dəld
cuddling  ˈkʌd - lɪŋ
cuddly  ˈkʌd - li
cuddy  ˈkʌ - di
cude  ˈkyud
cudgel  ˈkʌ - dʒəl
cudgels  ˈkʌ - dʒəlz
cudmore  ˈkʌd - mɔr
cudney  ˈkʌd - ni
cudworth  ˈkʌd - wɝθ
cue  ˈkyu
cued  ˈkyud
cuellar  ˈkyu - lɚ
cuello  ku - ˈɛ - loʊ
cuenca  ˈkwɛn - kə
cuero  ˈkwɛ - roʊ
cuervo  ˈkʊr - voʊ
cues  ˈkyuz
cuesta  ˈkwɛ - stə
cueto  ˈkwɛ - toʊ
cueva  ˈkwɛ - və
cuevas  ˈkwɛ - vɑz
cuff  ˈkʌf
cuffe  ˈkʌf
cuffed  ˈkʌft
cuffee  ˈkʌ - ˈfi
cuffs  ˈkʌfs
cugini  ku - ˈdʒi - ni
cuhney  ˈku - ni
cuisinart  ˈkwi - sɪ - nɚt
cuisinart(2)  ˈkwi - zə - nɑt
cuisinarts  ˈkwi - zən - ɑrts
cuisine  kwɪ - ˈzin
cuisines  kwɪ - ˈzinz
cul  ˈkʌl
culberson  ˈkʌl - bɚ - sən
culbert  ˈkʌl - bɚt
culbertson  ˈkʌl - bɚt - sən
culbreath  ˈkʌl - brɛθ
culbreth  ˈkʌl - brɪθ
culbro  ˈkʌl - broʊ
culhane  ˈkʌl - heɪn
culinary  ˈkyu - lɪ - nɛ - ri
culinova  kyu - lɪ - ˈnoʊ - və
culkin  ˈkʌl - kɪn
cull  ˈkʌl
cullan  ˈkʌ - lən
culled  ˈkʌld
cullen  ˈkʌ - lən
cullens  ˈkʌ - lənz
culler  ˈkʌ - lɚ
culler's  ˈkʌ - lɚz
cullers  ˈkʌ - lɚz
cullerton  ˈkʌ - lɚ - tən
cullerton's  ˈkʌ - lɚ - tənz
culleton  ˈku - lɪ - tɑn
culley  ˈkʌ - li
cullifer  ˈkʌ - lɪ - fɚ
culligan  ˈkʌ - lɪ - gən
cullimore  ˈkʌ - li - mɔr
cullin  ˈkʌ - lɪn
cullinan  ˈkʌ - lɪ - nən
cullinane  ˈkʌ - lɪ - neɪn
cullinet  kʌ - lɪ - ˈnɛt
culling  ˈkʌ - lɪŋ
cullins  ˈkʌ - lɪnz
cullipher  ˈkʌ - lɪ - fɚ
cullison  ˈkʌ - lɪ - sən
cullman  ˈkʌl - mən
cullom  ˈkʌ - ləm
cullop  ˈkʌ - ləp
cullud  ˈkʌ - ləd
cullum  ˈkʌ - ləm
cullum's  ˈkʌ - ləmz
cully  ˈkʌ - li
culmer  ˈkʌl - mɚ
culminate  ˈkʌl - mɪ - neɪt
culminated  ˈkʌl - mə - neɪ - təd
culminated(2)  ˈkʌl - mə - neɪ - tɪd
culminates  ˈkʌl - mɪ - neɪts
culminating  ˈkʌl - mə - neɪ - tɪŋ
culmination  kʌl - mə - ˈneɪ - ʃən
culp  ˈkʌlp
culpa  ˈkʌl - pə
culpability  kʌl - pə - ˈbɪ - lɪ - ti
culpable  ˈkʌl - pə - bəl
culpepper  ˈkʌl - pɪ - pɚ
culprit  ˈkʌl - prɪt
culprits  ˈkʌl - prɪts
cult  ˈkʌlt
cult's  ˈkʌlts
cultic  ˈkʌl - tɪk
cultist  ˈkʌl - təst
cultist(2)  ˈkʌl - tɪst
cultists  ˈkʌl - tɪsts
cultists(2)  ˈkʌl - tɪss
cultivate  ˈkʌl - tə - veɪt
cultivated  ˈkʌl - tə - veɪ - təd
cultivated(2)  ˈkʌl - tɪ - veɪ - tɪd
cultivates  ˈkʌl - tɪ - veɪts
cultivating  ˈkʌl - tɪ - veɪ - tɪŋ
cultivation  kʌl - tɪ - ˈveɪ - ʃən
culton  ˈkʌl - tən
cults  ˈkʌlts
cultural  ˈkʌl - tʃɚ - əl
culturalism  ˈkʌl - tʃɚ - ə - lɪ - zəm
culturally  ˈkʌl - tʃɚ - ə - li
culture  ˈkʌl - tʃɚ
culture's  ˈkʌl - tʃɚz
cultured  ˈkʌl - tʃɚd
cultures  ˈkʌl - tʃɚz
culturing  ˈkʌl - tʃɚ - ɪŋ
culvahouse  ˈkʌl - və - haʊs
culver  ˈkʌl - vɚ
culver's  ˈkʌl - vɚz
culverhouse  ˈkʌl - vɚ - haʊs
culverhouse's  ˈkʌl - vɚ - haʊ - sɪz
culvert  ˈkʌl - vɚt
culwell  ˈkʌl - wɛl
cul_de_sac  ˈkʌl - dɪ - sæk
cum  ˈkʌm
cumbee  ˈkʌm - bi
cumber  ˈkʌm - bɚ
cumberbatch  ˈkʌm - bɚ - bætʃ
cumberland  ˈkʌm - bɚ - lənd
cumberledge  ˈkʌm - bɚ - lɛdʒ
cumbersome  ˈkʌm - bɚ - səm
cumbie  ˈkʌm - bi
cumbo  ˈkʌm - boʊ
cumby  ˈkʌm - bi
cumings  ˈku - mɪŋz
cumming  ˈkʌ - mɪŋ
cummings  ˈkʌ - mɪŋz
cummington  ˈkʌ - mɪŋ - tən
cummins  ˈkʌ - mɪnz
cummins's  ˈkʌ - mɪn - zɪz
cummiskey  ˈkʌ - mɪs - ki
cumpston  ˈkʌmp - stən
cumpton  ˈkʌmp - tən
cumulative  ˈkyu - myə - lə - tɪv
cumulatively  ˈkyu - myə - lə - tɪv - li
cunanan  kyu - ˈnæ - nən
cunard  ˈkyu - nɚd
cundall  ˈkʌn - dəl
cundari  kun - ˈdɑ - ri
cundiff  ˈkʌn - dɪf
cundill  ˈkʌn - dɪl
cundy  ˈkʌn - di
cuneiform  ˈkyu - ni - ə - fɔrm
cuneo  ˈkyu - ni - oʊ
cunha  ˈkʌn - hə
cunliffe  ˈkʌn - lɪf
cunnane  ˈkʌ - nən
cunneen  kə - ˈnin
cunniff  ˈkʌ - nɪf
cunning  ˈkʌ - nɪŋ
cunningham  ˈkʌ - nɪŋ - hæm
cunningham's  ˈkʌ - nɪŋ - hæmz
cunnington  ˈkʌ - nɪŋ - tən
cuny  ˈkyu - ni
cuoco  ˈkwoʊ - koʊ
cuomo  ˈkwoʊ - moʊ
cuomo's  ˈkwoʊ - moʊz
cuong  ˈkwɔŋ
cuozzo  ˈkwoʊ - zoʊ
cup  ˈkʌp
cupboard  ˈkʌ - bɚd
cupboards  ˈkʌ - bɚdz
cupcake  ˈkʌp - keɪk
cupcakes  ˈkʌp - keɪks
cupertino  ku - pɚ - ˈti - noʊ
cupid  ˈkyu - pɪd
cupids  ˈkyu - pɪdz
cupit  ˈkyu - pɪt
cupo  ˈkyu - poʊ
cupp  ˈkʌp
cuppett  ˈkʌ - pɪt
cupples  ˈkʌ - pəlz
cupps  ˈkʌps
cuppy  ˈkʌ - pi
cups  ˈkʌps
cur  ˈkɝ
curable  ˈkyʊ - rə - bəl
curacao  ˈkyʊ - rə - saʊ
curate  ˈkyʊ - rət
curative  ˈkyʊ - rə - tɪv
curatolo  kʊ - rɑ - ˈtoʊ - loʊ
curator  kyʊ - ˈreɪ - tɚ
curator's  kyʊ - ˈreɪ - tɚz
curator's(2)  ˈkyʊ - rə - tɚz
curator(2)  ˈkyʊ - rə - tɚ
curatorial  kyʊ - rə - ˈtɔ - ri - əl
curators  ˈkyʊ - rə - tɚz
curators(2)  kyʊ - ˈreɪ - tɚz
curb  ˈkɝb
curbed  ˈkɝbd
curbelo  kʊr - ˈbɛ - loʊ
curbing  ˈkɝ - bɪŋ
curbow  ˈkɝ - boʊ
curbs  ˈkɝbz
curbside  ˈkɝb - saɪd
curbstone  ˈkɝb - stoʊn
curby  ˈkɝ - bi
curci  ˈkʊr - tʃi
curcio  ˈkʊr - tʃi - oʊ
curcuru  kʊr - ˈkʊ - ru
curd  ˈkɝd
cure  ˈkyʊr
cured  ˈkyʊrd
cures  ˈkyʊrz
cureton  ˈkyʊr - tən
curfew  ˈkɝ - fyu
curfews  ˈkɝ - fyuz
curfman  ˈkɝf - mən
curiale  kʊ - ri - ˈɑ - li
curie  kyʊ - ˈri
curie(2)  ˈkyʊ - ri
curiel  ˈkyu - ril
curing  ˈkyʊ - rɪŋ
curington  ˈkyʊ - rɪŋ - tən
curiosities  kyʊ - ri - ˈɑ - sə - tiz
curiosity  kyʊ - ri - ˈɑ - sə - ti
curious  ˈkyʊ - ri - əs
curiouser  ˈkyʊ - ri - ə - sɚ
curiously  ˈkyʊ - ri - əs - li
curitiba  kyʊ - ɪ - ˈti - bə
curl  ˈkɝl
curle  ˈkɔ - rəl
curled  ˈkɝld
curlee  ˈkɝ - ˈli
curler  ˈkɝ - lɚ
curlers  ˈkɝ - lɚz
curless  ˈkɝ - ləs
curlett  ˈkɝ - lɪt
curley  ˈkɝ - li
curlin  ˈkɝ - lɪn
curling  ˈkɝ - lɪŋ
curls  ˈkɝlz
curly  ˈkɝ - li
curmudgeon  kɚ - ˈmʌ - dʒɪn
curnow  ˈkɝ - noʊ
curnutt  ˈkɝ - nət
curnutte  kɚ - ˈnʌt
curragh  ˈkʌ - rə
curragh(2)  ˈkɝ - ə
curran  ˈkɝ - ən
curren  ˈkɝ - ən
currence  ˈkɝ - əns
currencies  ˈkɝ - ən - siz
currencies'  kɚ - ˈɛn - siz
currency  ˈkɝ - ən - si
currency's  ˈkɝ - ən - siz
currencywatch  ˈkɝ - ən - si - wɑtʃ
currens  ˈkɝ - ənz
current  ˈkɝ - ənt
current's  ˈkɝ - ənts
current(2)  ˈkɝnt
current(3)  ˈkɑ - rənt
currently  ˈkɝ - ənt - li
currents  ˈkɝ - ənts
curreri  kʊ - ˈrɛ - ri
currey  ˈkɝ - i
curricula  kɚ - ˈɪ - kyə - lə
curricular  kɚ - ˈɪ - kyə - lɚ
curriculum  kɚ - ˈɪ - kyə - ləm
curriculums  kɚ - ˈɪ - kyə - ləmz
currie  ˈkɝ - i
curried  ˈkɝ - id
currier  ˈkɝ - i - ɚ
curries  ˈkɝ - iz
currin  ˈkɔ - rɪn
currington  ˈkɝ - ɪŋ - tən
curro  ˈkʊ - roʊ
curry  ˈkʌ - ri
curry's  ˈkʌ - riz
curry's(2)  ˈkɝ - iz
curry(2)  ˈkɝ - i
currying  ˈkɝ - i - ɪŋ
currys  ˈkʌ - riz
currys(2)  ˈkɝ - iz
curse  ˈkɝs
cursed  ˈkɝst
curses  ˈkɝ - sɪz
cursing  ˈkɝ - sɪŋ
cursor  ˈkɝ - sɚ
cursory  ˈkɝ - sɚ - i
curt  ˈkɝt
curt's  ˈkɝts
curtail  kɚ - ˈteɪl
curtailed  kɚ - ˈteɪld
curtailing  kɚ - ˈteɪ - lɪŋ
curtailment  kɚ - ˈteɪl - mənt
curtailments  kɚ - ˈteɪl - mənts
curtails  kɚ - ˈteɪlz
curtain  ˈkɝ - tən
curtains  ˈkɝ - tənz
curti  ˈkʊr - ti
curtice  ˈkʊr - tɪs
curtin  ˈkɝ - tɪn
curtis  ˈkɝ - təs
curtis'  ˈkɝ - tɪs
curtis(2)  ˈkɝ - tɪs
curtiss  ˈkɝ - tɪs
curtly  ˈkɝt - li
curtner  ˈkɝt - nɚ
curto  ˈkʊr - toʊ
curtright  ˈkɝt - raɪt
curts  ˈkɝts
curtsinger  ˈkɝt - sɪn - dʒɚ
curvature  ˈkɝ - və - tʃɚ
curve  ˈkɝv
curved  ˈkɝvd
curves  ˈkɝvz
curvin  ˈkɝ - vɪn
curving  ˈkɝ - vɪŋ
curvy  ˈkɝ - vi
curzio  ˈkɝ - zi - oʊ
cus  ˈkʌs
cus(2)  ˈsi - ˈyu - ˈɛs
cusack  ˈkyu - zək
cusano  ku - ˈsɑ - noʊ
cush  ˈkʌʃ
cush(2)  ˈkʊʃ
cushey  ˈkʊ - ʃi
cushing  ˈkʊ - ʃɪŋ
cushion  ˈkʊ - ʃən
cushioned  ˈkʊ - ʃənd
cushioning  ˈkʊ - ʃən - ɪŋ
cushioning(2)  ˈkʊʃ - nɪŋ
cushions  ˈkʊ - ʃənz
cushitic  kə - ˈʃɪ - tɪk
cushman  ˈkʊʃ - mən
cushy  ˈkʊ - ʃi
cusiana  kyu - zi - ˈæ - nə
cusic  ˈkyu - zɪk
cusick  ˈkyu - zɪk
cusimano  ku - si - ˈmɑ - noʊ
cusip  ˈkʌ - sɪp
cusip(2)  ˈkyu - sɪp
cusk  ˈkʌsk
cusmano  kus - ˈmɑ - noʊ
cuso  ˈkyu - soʊ
cuso's  ˈkyu - soʊz
cuso's(2)  ˈku - soʊz
cuso(2)  ˈku - soʊ
cusp  ˈkʌsp
cuss  ˈkʌs
cussed  ˈkʌst
cussing  ˈkʌ - sɪŋ
cusson  ˈkʌ - sən
custard  ˈkʌ - stɚd
custer  ˈkʌ - stɚ
custer's  ˈkʌ - stɚz
custis  ˈkʌ - stɪs
custodial  kə - ˈstoʊ - di - əl
custodian  kə - ˈstoʊ - di - ən
custodians  kə - ˈstoʊ - di - ənz
custodio  ku - ˈstoʊ - di - oʊ
custody  ˈkʌ - stə - di
custom  ˈkʌ - stəm
customarily  kʌ - stə - ˈmɛ - rə - li
customary  ˈkʌ - stə - mɛ - ri
customer  ˈkʌ - stə - mɚ
customer's  ˈkʌ - stə - mɚz
customers  ˈkʌ - stə - mɚz
customers'  ˈkʌ - stə - mɚz
customize  ˈkʌ - stə - maɪz
customized  ˈkʌ - stə - maɪzd
customizing  ˈkʌ - stə - maɪ - zɪŋ
customs  ˈkʌ - stəmz
cusumano  ku - su - ˈmɑ - noʊ
cut  ˈkʌt
cutaia  ku - ˈtɑ - yə
cutaway  ˈkʌt - ə - weɪ
cutback  ˈkʌt - bæk
cutbacks  ˈkʌt - bæks
cutbirth  ˈkʌt - bɝθ
cutchall  ˈkʌ - tʃəl
cutcher  ˈkʌ - tʃɚ
cutchin  ˈkʌ - tʃɪn
cutchins  ˈkʌ - tʃɪnz
cute  ˈkyut
cuteness  ˈkyut - nəs
cuter  ˈkyu - tɚ
cutesiness  ˈkyut - si - nɪs
cutest  ˈkyu - tɪst
cutesy  ˈkyut - si
cuthbert  ˈkʌθ - bɚt
cuthbertson  ˈkʌθ - bɚt - sən
cuthrell  ˈkʌ - θrəl
cuticle  ˈkyu - tə - kəl
cuticle(2)  ˈkyu - tɪ - kəl
cutillo  kyu - ˈtɪ - loʊ
cutlass  ˈkʌt - ləs
cutler  ˈkʌt - lɚ
cutler's  ˈkʌt - lɚz
cutlery  ˈkʌt - lɚ - i
cutlip  ˈkʌt - lɪp
cutoff  ˈkʌ - tɔf
cutoffs  ˈkʌ - tɔfs
cutout  ˈkʌt - aʊt
cutouts  ˈkʌt - aʊts
cutrale  ˈkʌ - treɪl
cutrell  ˈkʌ - trəl
cutrer  ˈkʌ - trɚ
cutright  ˈkʌt - raɪt
cutrona  ku - ˈtroʊ - nə
cutrone  ku - ˈtroʊ - ni
cuts  ˈkʌts
cutsforth  ˈkʌts - fɔrθ
cutshall  ˈkʌ - tʃəl
cutshaw  ˈkʌ - tʃɔ
cutsinger  ˈkʌt - sɪn - dʒɚ
cutter  ˈkʌ - tɚ
cutters  ˈkʌ - tɚz
cutthroat  ˈkʌt - θroʊt
cutting  ˈkʌ - tɪŋ
cuttings  ˈkʌ - tɪŋz
cuttino  ku - ˈti - noʊ
cuttlefish  ˈkʌ - təl - fɪʃ
cutts  ˈkʌts
cutty  ˈkʌ - ti
cutugno  kyu - ˈtʌ - nyoʊ
cutworm  ˈkʌt - wɝm
cutworms  ˈkʌt - wɝmz
cuvelier  ˈkyuv - li - ɚ
cuyahoga  kaɪ - ə - ˈhoʊ - gə
cuyler  ˈkaɪ - lɚ
cuzzort  ˈkʌ - zɚt
cwiertnia  ˈkwirt - ni - ə
cwik  ˈkwɪk
cwikla  ˈkwɪ - klə
cwiklinski  kwɪ - ˈklɪn - ski
cwynar  ˈkwɪ - nɚ
cxc  ˈsi - ˈɛks - ˈsi
cxc(2)  ˈsi - ˈɛk - ˈsi
cy  ˈsaɪ
cyacq  ˈsaɪ - æk
cyan  saɪ - ˈæn
cyanamid  saɪ - ˈæ - nə - mɪd
cyanamid's  saɪ - ˈæ - nə - mɪdz
cyanazine  ˈsaɪ - ə - nə - zin
cyanide  ˈsaɪ - ə - naɪd
cyanide(2)  ˈsaɪ - naɪd
cyanuric  saɪ - ˈæ - nɚ - ɪk
cyb  ˈsaɪb
cyb(2)  ˈsi - ˈwaɪ - ˈbi
cyber  ˈsaɪ - bɚ
cybercash  ˈsaɪ - bɚ - kæʃ
cyberporn  ˈsaɪ - bɚ - pɔrn
cybersex  ˈsaɪ - bɚ - sɛks
cyberspace  ˈsaɪ - bɚ - speɪs
cyberspace's  ˈsaɪ - bɚ - speɪ - sɪz
cybill  ˈsaɪ - bɪl
cybulski  kɪ - ˈbʌls - ki
cycads  ˈsaɪ - kædz
cycare  ˈsaɪ - kɛr
cyclades  saɪ - ˈkleɪ - diz
cyclades(2)  ˈsaɪ - klædz
cycle  ˈsaɪ - kəl
cycled  ˈsaɪ - kəld
cycles  ˈsaɪ - kəlz
cyclical  ˈsaɪ - klɪ - kəl
cyclical(2)  ˈsɪ - klɪ - kəl
cyclicality  sɪ - klɪ - ˈkæ - lɪ - ti
cyclicals  ˈsɪ - klɪ - kəlz
cycling  ˈsaɪ - kəl - ɪŋ
cycling(2)  ˈsaɪ - klɪŋ
cyclist  ˈsaɪ - kə - lɪst
cyclist(2)  ˈsaɪ - klɪst
cyclists  ˈsaɪ - kə - lɪsts
cyclists(2)  ˈsaɪ - kə - lɪss
cyclists(3)  ˈsaɪ - klɪsts
cyclists(4)  ˈsaɪ - klɪss
cyclists(5)  ˈsaɪ - kə - lɪs
cyclists(6)  ˈsaɪk - lɪs
cyclohexane  saɪ - klə - ˈhɛk - seɪn
cyclone  sɪ - ˈkloʊn
cyclones  sɪ - ˈkloʊnz
cyclopean  saɪ - klə - ˈpi - ən
cyclops  ˈsaɪ - klɔps
cyclops's  ˈsaɪ - klɔp - sɪz
cyclosporine  sɪ - ˈklɔ - spɚ - in
cyclostome  ˈsaɪk - ləs - toʊm
cyclostomes  ˈsaɪk - ləs - toʊmz
cycolor  ˈsɪ - kə - lɚ
cyd  ˈsɪd
cydonia  sɪ - ˈdoʊ - ni - ə
cydrome  sɪ - ˈdroʊm
cygan  ˈsaɪ - gən
cygne  ˈsɪg - nə
cygnus  ˈsɪg - nəs
cyhexatin  saɪ - ˈhɛk - sə - tɪn
cylinder  ˈsɪ - lən - dɚ
cylinder(2)  ˈsɪ - lɪn - dɚ
cylinders  ˈsɪ - lən - dɚz
cylindrical  sə - ˈlɪn - drɪ - kəl
cylindrical(2)  sɪ - ˈlɪn - drɪ - kəl
cymbal  ˈsɪm - bəl
cymbals  ˈsɪm - bəlz
cymrot  ˈsɪ - mrət
cynara  kɪn - ˈɑ - rə
cyndi  ˈsɪn - di
cynic  ˈsɪ - nɪk
cynical  ˈsɪ - nɪ - kəl
cynically  ˈsɪ - nɪ - kə - li
cynically(2)  ˈsɪ - nɪk - li
cynicism  ˈsɪ - nɪ - sɪ - zəm
cynics  ˈsɪ - nɪks
cynric  ˈsɪn - rɪk
cynth  ˈsɪnθ
cynthia  ˈsɪn - θi - ə
cynthia's  ˈsɪn - θi - əz
cynthie  ˈsɪn - θi
cynwyd  ˈsɪn - wɪd
cypert  ˈsaɪ - pɚt
cypher  ˈsaɪ - fɚ
cyphers  ˈsaɪ - fɚz
cyphert  ˈsaɪ - fɚt
cypress  ˈsaɪ - prəs
cypress's  ˈsaɪ - prə - sɪz
